id,xP
1,4.0
2,1.0
3,0.0
4,1.0
5,0.0
6,1.4
7,3.5
8,3.2
9,0.0
10,1.2
11,4.5
13,1.0
14,0.0
15,1.0
16,7.8
17,2.0
18,2.2
19,2.0
20,4.7
21,4.8
22,9.0
23,0.0
24,1.0
25,1.2
26,3.5
28,0.0
29,0.0
30,0.0
31,1.0
266,7.2
662,2.0
666,1.2
700,1.0
711,1.0
725,3.8
32,6.0
33,0.2
34,0.0
35,0.0
36,4.5
37,4.5
38,4.2
39,0.5
40,0.0
41,3.8
42,0.0
43,0.0
44,1.0
45,0.0
46,0.0
47,6.5
48,2.5
49,0.0
50,3.5
51,0.0
53,4.8
54,3.5
55,0.0
56,0.0
57,0.0
58,4.8
59,5.2
60,0.0
61,0.0
62,0.0
63,0.0
64,4.5
65,0.0
389,0.0
456,0.8
677,2.2
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,0.0
754,0.0
757,1.3
183,0.0
184,0.0
185,0.0
186,0.0
187,1.2
188,0.0
189,0.0
190,1.0
191,3.2
192,1.8
193,0.0
194,0.0
195,0.2
196,0.0
197,0.0
198,1.0
199,0.0
200,2.2
201,0.0
202,1.0
203,0.0
204,0.0
205,4.5
206,0.5
207,1.2
208,0.0
209,0.5
210,2.0
211,0.0
212,0.0
213,0.0
214,0.0
215,3.5
216,0.0
217,1.2
218,0.0
219,0.0
470,1.8
676,2.2
680,1.0
722,3.2
66,0.0
67,1.5
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.8
74,1.2
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.2
81,1.2
82,1.2
84,2.8
85,3.5
86,0.0
87,0.0
88,0.0
89,0.0
90,1.8
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.2
98,1.8
99,0.0
100,1.5
391,0.0
685,1.2
687,0.0
697,2.5
713,1.0
721,1.5
756,1.2
27,0.0
83,4.8
101,1.0
102,-1.0
103,-1.0
104,-1.0
105,-1.0
106,1.0
107,-0.5
108,0.2
109,0.0
110,1.0
111,0.0
112,0.0
113,1.0
114,-1.0
115,0.0
116,1.8
117,0.0
118,0.0
120,2.5
121,1.2
122,0.0
123,0.0
124,2.2
125,-0.2
126,0.5
127,-1.0
128,-1.0
129,1.0
130,-1.0
131,-1.0
132,-1.0
133,-1.0
134,0.0
136,6.8
137,-1.0
748,0.0
138,0.0
139,5.2
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,4.2
146,3.2
147,0.0
148,4.0
150,0.0
151,6.2
152,0.8
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,1.5
159,0.0
160,4.8
161,0.0
162,0.8
163,4.0
164,0.0
165,0.0
166,2.5
167,2.0
169,2.0
170,0.0
171,0.0
172,0.0
173,4.8
174,0.0
175,0.0
176,0.0
177,0.0
178,3.2
179,0.0
180,1.8
181,0.5
744,0.0
168,0.0
220,4.0
221,0.0
222,0.0
223,0.0
224,3.5
225,2.5
226,5.5
227,0.0
228,4.8
229,0.0
230,2.5
231,0.0
232,3.2
233,0.0
234,0.0
235,0.2
236,6.2
237,4.5
238,1.2
239,3.0
240,0.0
241,0.0
243,0.0
244,0.0
245,0.0
246,2.0
247,0.0
248,0.0
249,2.8
250,1.8
251,0.0
252,1.5
453,3.2
672,0.0
743,0.0
253,6.0
254,0.0
255,0.0
256,8.8
257,7.0
258,6.0
259,0.0
260,4.8
261,6.0
262,0.0
263,0.0
264,0.0
265,0.0
267,0.0
268,0.0
269,0.0
270,1.0
271,3.2
272,2.0
273,4.0
274,0.0
275,0.0
276,0.8
