id,xP
1,4.4
2,1.0
3,0.0
4,1.0
5,8.8
6,5.0
7,0.0
8,5.6
9,0.0
10,1.6
11,2.4
13,1.0
14,0.0
15,1.0
16,5.2
17,6.2
18,2.0
19,2.4
20,4.8
21,6.6
22,2.2
23,0.0
24,1.2
25,1.0
26,5.2
28,0.0
29,0.0
30,1.0
31,2.6
266,1.4
662,0.0
666,2.8
700,0.0
711,1.0
725,1.5
759,1.0
32,1.4
33,0.4
34,0.0
35,0.0
36,2.8
37,2.4
38,3.0
39,1.4
40,0.0
41,0.4
42,0.2
43,0.0
44,0.4
45,0.0
46,0.0
47,2.4
48,4.2
49,0.0
50,2.0
51,0.0
53,0.0
54,4.2
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.2
63,0.0
64,5.6
65,0.0
389,0.0
456,1.4
677,0.4
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,2.0
754,0.4
757,0.0
768,0.0
781,0.0
792,0.0
183,-0.5
184,0.0
185,-0.5
186,0.0
187,1.3
188,0.0
189,0.0
190,2.3
191,0.5
192,-0.5
193,3.9
194,0.0
195,2.1
196,0.0
197,-0.1
198,0.3
199,-0.4
200,1.7
201,0.0
202,0.5
203,-0.5
204,0.0
205,0.0
206,3.5
207,-0.3
208,0.0
209,3.7
210,0.3
211,0.0
212,0.0
213,-0.3
214,0.0
215,0.0
216,0.0
217,-0.3
218,-0.5
219,0.0
470,3.9
676,2.7
680,2.5
722,2.7
776,-0.5
784,-0.5
66,0.0
67,0.8
68,0.0
69,0.0
70,0.0
71,0.0
72,3.0
73,0.2
74,2.0
75,0.0
76,0.0
77,2.2
78,0.0
79,0.0
80,0.2
81,0.0
84,3.8
85,0.0
86,2.5
87,0.2
88,3.0
89,0.0
90,3.4
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.6
98,0.0
99,0.0
100,3.0
391,0.0
685,0.4
687,0.0
697,1.8
713,1.8
721,0.4
756,0.0
782,0.0
799,1.3
801,1.8
27,0.6
83,0.2
101,5.2
102,0.0
103,0.0
104,0.0
105,0.0
106,7.4
107,3.0
108,4.6
109,3.2
110,3.2
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,1.0
117,0.0
118,0.0
120,7.2
121,2.6
122,0.0
123,0.0
124,0.8
125,5.6
126,2.0
127,0.0
128,0.0
129,4.6
130,0.2
131,0.0
132,0.0
133,0.0
134,0.0
136,7.6
137,0.0
748,0.0
797,1.2
138,0.0
139,2.8
140,0.0
141,0.0
