id,xP
1,5.0
2,1.0
3,0.0
4,1.0
5,0.2
6,2.6
7,3.8
8,3.8
9,0.0
10,1.4
11,0.0
13,1.0
14,0.0
15,1.0
16,6.8
17,3.0
18,2.0
19,2.2
20,3.0
21,6.2
22,6.0
23,0.0
24,1.0
25,1.0
26,2.8
28,0.0
29,0.0
30,0.0
31,1.4
266,2.0
662,0.0
666,2.8
700,0.0
711,1.0
725,6.2
759,1.0
32,2.1
33,0.4
34,0.0
35,0.0
36,4.2
37,2.0
38,2.8
39,1.2
40,0.0
41,0.0
42,0.0
43,0.0
44,0.6
45,0.0
46,0.0
47,8.2
48,2.8
49,0.0
50,2.0
51,0.0
53,2.4
54,3.8
55,0.0
56,0.0
57,0.0
58,5.2
59,4.0
60,0.0
61,0.0
62,0.0
63,0.0
64,5.2
65,0.0
389,0.0
456,0.0
677,0.0
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,1.4
754,0.0
757,0.0
768,1.3
183,0.0
184,0.0
185,0.0
186,0.0
187,1.4
188,0.0
189,0.0
190,2.0
191,2.2
192,1.8
193,0.0
194,0.0
195,-0.2
196,0.0
197,1.6
198,0.0
199,0.6
200,1.8
201,0.0
202,1.8
203,0.0
204,0.0
205,2.8
206,1.4
207,0.0
208,0.0
209,1.0
210,1.0
211,0.0
212,0.0
213,0.0
214,0.4
215,2.8
216,0.0
217,0.0
218,0.0
219,0.0
470,1.8
676,3.0
680,2.6
722,2.2
66,0.0
67,2.8
68,0.0
69,0.0
70,0.0
71,0.0
72,3.0
73,1.8
74,3.2
75,0.0
76,0.0
77,0.4
78,0.0
79,0.0
80,0.2
81,2.2
82,4.8
84,4.2
85,0.0
86,0.8
87,0.1
88,0.4
89,0.0
90,2.4
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.2
98,0.6
99,0.0
100,1.8
391,0.0
685,2.6
687,0.0
697,2.0
713,3.0
721,0.0
756,0.0
27,0.2
83,0.0
101,4.4
102,0.0
103,0.0
104,0.0
105,0.0
106,4.0
107,6.0
108,0.2
109,2.6
110,2.6
111,0.8
112,0.0
113,3.0
114,0.0
115,0.0
116,3.0
117,0.0
118,0.0
120,1.6
121,2.4
122,0.0
123,0.0
124,3.3
125,3.0
126,2.2
127,0.0
128,0.0
129,1.8
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,3.0
137,0.0
748,0.0
138,0.0
139,4.6
140,0.0
141,0.0
142,0.0
143,1.8
144,1.4
145,5.8
146,0.0
147,0.0
148,3.2
150,0.0
151,4.8
152,0.6
153,0.0
154,0.0
155,0.0
156,0.0
157,0.4
158,3.4
159,0.0
160,2.6
161,0.0
162,1.6
163,3.0
164,0.0
165,0.0
166,1.4
167,0.0
169,0.0
170,0.4
171,0.0
172,0.2
173,3.4
174,0.0
175,0.0
176,0.0
177,0.0
178,0.9
179,0.0
180,0.0
181,0.8
744,0.0
761,1.3
168,0.0
220,4.8
221,0.0
222,0.0
223,0.0
224,3.0
225,5.4
226,6.6
227,0.0
228,5.4
229,0.0
230,4.6
231,0.0
232,0.6
233,0.0
234,0.0
235,2.6
236,3.6
237,2.2
238,0.0
239,1.2
240,0.0
241,0.2
243,0.0
244,0.0
245,0.0
246,0.6
247,0.0
248,0.0
249,2.4
250,0.0
251,0.0
252,0.2
453,1.8
672,0.0
743,0.0
253,2.6
254,0.0
255,0.0
256,0.0
257,3.0
258,2.0
259,0.2
260,4.8
261,3.4
262,0.0
263,0.8
264,0.0
265,0.0
267,0.0
268,0.0
269,0.0
270,0.8
271,0.0
272,1.4
273,4.6
274,0.0
275,0.0
276,1.8
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,2.8
284,2.6
285,0.0
286,0.0
690,0.0
712,2.8
723,0.4
732,1.4
762,1.2
242,0.0
287,2.6
288,-1.0
289,-1.0
290,0.0
291,4.2
292,1.8
293,2.4
294,0.0
295,2.2
296,-1.0
297,-1.0
298,-1.0
299,0.0
300,0.0
301,1.6
302,0.0
303,2.2
304,1.0
305,0.0
306,-1.0
307,-1.0
308,0.0
309,0.0
310,1.6
311,0.0
312,0.0
313,0.0
419,3.0
630,-1.0
667,-1.0
704,0.0
705,-1.0
707,-0.2
728,-0.8
314,2.6
315,0.0
316,2.6
317,2.8
318,0.0
319,1.2
320,0.2
