id,xP
1,4.0
2,1.0
3,0.0
4,1.0
5,4.2
6,3.4
7,1.8
8,3.8
9,0.0
10,1.8
11,0.8
13,1.0
14,0.0
15,1.0
16,7.2
17,5.2
18,1.4
19,1.6
20,6.0
21,2.9
22,2.4
23,0.0
24,1.2
25,1.0
26,4.2
28,0.0
29,0.0
30,0.5
31,2.4
266,1.4
662,0.0
666,3.4
700,0.0
711,1.0
725,5.0
759,1.0
32,1.0
33,-0.8
34,0.0
35,0.0
36,0.0
37,-0.4
38,0.8
39,0.4
40,-0.2
41,0.0
42,-1.0
43,0.0
44,-0.8
45,-1.0
46,0.0
47,5.8
48,2.8
49,0.0
50,1.6
51,0.0
53,0.6
54,1.2
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,-1.0
61,0.0
62,-0.8
63,-1.0
64,4.8
65,0.0
389,-0.8
456,-0.2
677,0.0
688,-1.0
701,0.0
702,-1.0
703,-1.0
710,-1.0
719,0.8
754,-0.8
757,-1.0
768,-1.0
183,0.0
184,0.0
185,0.0
186,0.0
187,1.6
188,0.0
189,0.0
190,3.6
191,0.6
192,0.8
193,2.0
194,0.0
195,1.2
196,0.0
197,1.6
198,0.0
199,0.4
200,1.0
201,0.0
202,2.2
203,0.0
204,0.0
205,0.9
206,2.2
207,0.0
208,0.0
209,3.8
210,0.6
211,0.0
212,0.0
213,0.0
214,0.8
215,1.6
216,0.0
217,0.0
218,0.2
219,0.0
470,3.8
676,4.0
680,4.0
722,1.6
776,1.2
66,0.0
67,2.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.6
73,1.8
74,3.0
75,0.0
76,0.0
77,1.0
78,0.0
79,0.0
80,0.2
81,3.4
82,6.6
84,4.6
85,0.0
86,3.0
87,0.2
88,1.6
89,0.0
90,2.2
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.6
98,0.6
99,0.0
100,1.4
391,0.0
685,1.6
687,0.0
697,0.8
713,3.4
721,0.0
756,0.0
27,0.4
83,0.0
101,5.6
102,0.0
103,0.0
104,0.0
105,0.0
106,5.6
107,7.2
108,2.6
109,3.6
110,3.8
111,0.0
112,0.0
113,1.8
114,0.0
115,0.0
116,1.6
117,0.0
118,0.0
120,5.4
121,2.2
122,0.0
123,0.0
124,3.2
125,4.4
126,1.8
127,0.0
128,0.0
129,3.4
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,2.6
137,0.0
748,0.0
138,0.0
139,3.4
140,0.0
141,0.0
142,0.0
143,1.8
144,1.4
145,3.0
146,0.6
147,0.0
148,2.6
150,0.0
151,1.8
152,2.2
153,0.0
154,0.0
155,0.0
156,0.0
157,0.6
158,2.8
159,0.0
160,2.6
161,0.0
162,1.4
163,1.8
164,0.0
165,0.0
166,2.6
167,0.0
169,2.8
170,0.6
171,0.0
172,0.4
173,1.2
174,0.0
175,0.0
176,0.0
177,0.0
178,1.4
179,0.0
180,0.0
181,0.8
744,0.0
761,0.0
168,0.0
220,5.0
221,0.0
222,0.0
223,0.0
224,2.2
225,5.2
226,4.8
227,0.0
228,5.2
229,0.2
230,4.4
231,0.0
232,0.0
233,0.0
234,0.0
235,4.2
236,2.6
237,3.4
238,1.6
239,0.6
240,0.0
241,1.4
243,0.0
244,0.0
245,0.0
246,0.4
247,0.0
248,0.0
249,3.6
250,0.6
251,0.0
252,0.0
453,2.6
672,0.0
743,0.0
253,2.0
254,0.0
255,0.0
256,0.0
257,1.8
258,1.8
259,0.4
260,2.8
261,0.7
262,0.0
263,2.4
264,0.0
265,0.0
267,0.0
268,0.0
269,0.4
270,0.8
271,0.0
272,1.0
